"Measurement","statistic","value","text"
"ECHO CO","limits of agreement % (relative)","(-24.5,  19.2)","limits of agreement % (relative):  (-24.5,  19.2)"
"ECHO SV","N (excl. missing)","38","N (excl. missing):  38"
"ECHO SV","n increased","8","n increased:  8"
"ECHO SV","n decreased","30","n decreased:  30"
"ECHO SV","n no change","0","n no change:  0"
"ECHO SV","pre-venesection mean","80","pre-venesection mean:  80"
"ECHO SV","post-venesection mean","73.14","post-venesection mean:  73.14"
"ECHO SV","bias (absolute)","-6.120e+00 (-7.610e+00, -2.890e+00)","bias (absolute):  -6.120e+00 (-7.610e+00, -2.890e+00)"
"ECHO SV","bias (relative)"," -9.6 (-10.5,  -4.3)","bias (relative):   -9.6 (-10.5,  -4.3)"
"ECHO SV","Correlation","0.908 ( 0.879, 0.962)","Correlation:  0.908 ( 0.879, 0.962)"
"ECHO SV","Coefficient of variation (CV)","-1.48 ( -2.49, -0.93)","Coefficient of variation (CV):  -1.48 ( -2.49, -0.93)"
"ECHO SV","inverse CV","-0.676 (-1.070, -0.402)","inverse CV:  -0.676 (-1.070, -0.402)"
"ECHO SV","log-odds","-1.322 (-2.457, -0.654)","log-odds:  -1.322 (-2.457, -0.654)"
"ECHO SV","limits of agreement (absolute)","(-15.34,  13.81)","limits of agreement (absolute):  (-15.34,  13.81)"
"ECHO SV","limits of agreement % (relative)","(-14.8,  23.4)","limits of agreement % (relative):  (-14.8,  23.4)"
"ECHO SVI","N (excl. missing)","38","N (excl. missing):  38"
"ECHO SVI","n increased","8","n increased:  8"
"ECHO SVI","n decreased","30","n decreased:  30"
"ECHO SVI","n no change","0","n no change:  0"
"ECHO SVI","pre-venesection mean","39.64","pre-venesection mean:  39.64"
"ECHO SVI","post-venesection mean","36.47","post-venesection mean:  36.47"
"ECHO SVI","bias (absolute)","-2.960e+00 (-3.700e+00, -1.420e+00)","bias (absolute):  -2.960e+00 (-3.700e+00, -1.420e+00)"
"ECHO SVI","bias (relative)"," -9.6 (-10.5,  -4.3)","bias (relative):   -9.6 (-10.5,  -4.3)"
"ECHO SVI","Correlation","0.922 ( 0.896, 0.965)","Correlation:  0.922 ( 0.896, 0.965)"
"ECHO SVI","Coefficient of variation (CV)","-1.45 ( -2.48, -0.91)","Coefficient of variation (CV):  -1.45 ( -2.48, -0.91)"
"ECHO SVI","inverse CV","-0.691 (-1.094, -0.404)","inverse CV:  -0.691 (-1.094, -0.404)"
"ECHO SVI","log-odds","-1.322 (-2.457, -0.654)","log-odds:  -1.322 (-2.457, -0.654)"
"ECHO SVI","limits of agreement (absolute)","(-7.52,  6.52)","limits of agreement (absolute):  (-7.52,  6.52)"
"ECHO SVI","limits of agreement % (relative)","(-15.2,  23.4)","limits of agreement % (relative):  (-15.2,  23.4)"
"Flow time","N (excl. missing)","40","N (excl. missing):  40"
"Flow time","n increased","12","n increased:  12"
"Flow time","n decreased","19","n decreased:  19"
"Flow time","n no change","9","n no change:  9"
"Flow time","pre-venesection mean","0.314","pre-venesection mean:  0.314"
"Flow time","post-venesection mean","0.30925","post-venesection mean:  0.30925"
"Flow time","bias (absolute)","-4.750e-03 (-1.125e-02,  1.750e-03)","bias (absolute):  -4.750e-03 (-1.125e-02,  1.750e-03)"
"Flow time","bias (relative)"," -1.6 ( -3.8,   0.5)","bias (relative):   -1.6 ( -3.8,   0.5)"
"Flow time","Correlation","0.714 ( 0.427, 0.863)","Correlation:  0.714 ( 0.427, 0.863)"
"Flow time","Coefficient of variation (CV)","-4.52 (-41.99, 29.34)","Coefficient of variation (CV):  -4.52 (-41.99, 29.34)"
"Flow time","inverse CV","-0.221 (-0.538,  0.091)","inverse CV:  -0.221 (-0.538,  0.091)"
"Flow time","log-odds","-0.354 (-0.969,  0.201)","log-odds:  -0.354 (-0.969,  0.201)"
"Flow time","limits of agreement (absolute)","(-0.04586,  0.03636)","limits of agreement (absolute):  (-0.04586,  0.03636)"
"Flow time","limits of agreement % (relative)","(-15.2,  11.6)","limits of agreement % (relative):  (-15.2,  11.6)"
"FTc","N (excl. missing)","40","N (excl. missing):  40"
"FTc","n increased","18","n increased:  18"
"FTc","n decreased","21","n decreased:  21"
"FTc","n no change","1","n no change:  1"
"FTc","pre-venesection mean","0.33392","pre-venesection mean:  0.33392"
"FTc","post-venesection mean","0.32997","post-venesection mean:  0.32997"
"FTc","bias (absolute)","-3.950e-03 (-1.160e-02,  3.740e-03)","bias (absolute):  -3.950e-03 (-1.160e-02,  3.740e-03)"
"FTc","bias (relative)"," -1.2 ( -3.4,   1.1)","bias (relative):   -1.2 ( -3.4,   1.1)"
"FTc","Correlation","0.594 ( 0.428, 0.755)","Correlation:  0.594 ( 0.428, 0.755)"
"FTc","Coefficient of variation (CV)","-6.30 (-67.38, 58.37)","Coefficient of variation (CV):  -6.30 (-67.38, 58.37)"
"FTc","inverse CV","-0.159 (-0.484,  0.159)","inverse CV:  -0.159 (-0.484,  0.159)"
"FTc","log-odds","-0.150 (-0.788,  0.458)","log-odds:  -0.150 (-0.788,  0.458)"
"FTc","limits of agreement (absolute)","(-0.05231,  0.04467)","limits of agreement (absolute):  (-0.05231,  0.04467)"
"FTc","limits of agreement % (relative)","(-15.2,  12.9)","limits of agreement % (relative):  (-15.2,  12.9)"
"HR","N (excl. missing)","40","N (excl. missing):  40"
"HR","n increased","7","n increased:  7"
"HR","n decreased","31","n decreased:  31"
"HR","n no change","2","n no change:  2"
"HR","pre-venesection mean","77.3","pre-venesection mean:  77.3"
"HR","post-venesection mean","71.47","post-venesection mean:  71.47"
"HR","bias (absolute)","-5.830e+00 (-7.750e+00, -3.900e+00)","bias (absolute):  -5.830e+00 (-7.750e+00, -3.900e+00)"
"HR","bias (relative)"," -7.7 (-10.2,  -5.3)","bias (relative):   -7.7 (-10.2,  -5.3)"
"HR","Correlation","0.879 ( 0.803, 0.938)","Correlation:  0.879 ( 0.803, 0.938)"
"HR","Coefficient of variation (CV)","-1.08 ( -1.69, -0.72)","Coefficient of variation (CV):  -1.08 ( -1.69, -0.72)"
"HR","inverse CV","-0.922 (-1.380, -0.591)","inverse CV:  -0.922 (-1.380, -0.591)"
"HR","log-odds","-1.386 (-2.345, -0.731)","log-odds:  -1.386 (-2.345, -0.731)"
"HR","limits of agreement (absolute)","(-18.00,  6.35)","limits of agreement (absolute):  (-18.00,  6.35)"
"HR","limits of agreement % (relative)","(-23.0,  7.8)","limits of agreement % (relative):  (-23.0,  7.8)"
"IVC CI","N (excl. missing)","29","N (excl. missing):  29"
"IVC CI","n increased","16","n increased:  16"
"IVC CI","n decreased","9","n decreased:  9"
"IVC CI","n no change","4","n no change:  4"
"IVC CI","pre-venesection mean","0.4814","pre-venesection mean:  0.4814"
"IVC CI","post-venesection mean","0.5858","post-venesection mean:  0.5858"
"IVC CI","bias (absolute)"," 1.045e-01 ( 3.760e-02,  1.858e-01)","bias (absolute):   1.045e-01 ( 3.760e-02,  1.858e-01)"
"IVC CI","bias (relative)"," 17.8 (  6.3,  30.7)","bias (relative):   17.8 (  6.3,  30.7)"
"IVC CI","Correlation","0.656 ( 0.308, 0.939)","Correlation:  0.656 ( 0.308, 0.939)"
"IVC CI","Coefficient of variation (CV)"," 1.98 (  1.37,  3.24)","Coefficient of variation (CV):   1.98 (  1.37,  3.24)"
"IVC CI","inverse CV"," 0.505 ( 0.308,  0.730)","inverse CV:   0.505 ( 0.308,  0.730)"
"IVC CI","log-odds"," 0.492 (-0.208,  1.242)","log-odds:   0.492 (-0.208,  1.242)"
"IVC CI","limits of agreement (absolute)","(-0.2557,  0.5425)","limits of agreement (absolute):  (-0.2557,  0.5425)"
"IVC CI","limits of agreement % (relative)","(-43.9,  87.4)","limits of agreement % (relative):  (-43.9,  87.4)"
"IVCe","N (excl. missing)","29","N (excl. missing):  29"
"IVCe","n increased","4","n increased:  4"
"IVCe","n decreased","25","n decreased:  25"
"IVCe","n no change","0","n no change:  0"
"IVCe","pre-venesection mean","1.7552","pre-venesection mean:  1.7552"
"IVCe","post-venesection mean","1.4931","post-venesection mean:  1.4931"
"IVCe","bias (absolute)","-2.621e-01 (-3.724e-01, -1.579e-01)","bias (absolute):  -2.621e-01 (-3.724e-01, -1.579e-01)"
"IVCe","bias (relative)","-20.4 (-30.5, -11.4)","bias (relative):  -20.4 (-30.5, -11.4)"
"IVCe","Correlation","0.805 ( 0.650, 0.907)","Correlation:  0.805 ( 0.650, 0.907)"
"IVCe","Coefficient of variation (CV)","-1.16 ( -1.76, -0.79)","Coefficient of variation (CV):  -1.16 ( -1.76, -0.79)"
"IVCe","inverse CV","-0.866 (-1.266, -0.569)","inverse CV:  -0.866 (-1.266, -0.569)"
"IVCe","log-odds","-1.833 (-3.332, -0.965)","log-odds:  -1.833 (-3.332, -0.965)"
"IVCe","limits of agreement (absolute)","(-0.8563,  0.2987)","limits of agreement (absolute):  (-0.8563,  0.2987)"
"IVCe","limits of agreement % (relative)","(-74.8,  27.9)","limits of agreement % (relative):  (-74.8,  27.9)"
"IVCi","N (excl. missing)","29","N (excl. missing):  29"
"IVCi","n increased","2","n increased:  2"
"IVCi","n decreased","22","n decreased:  22"
"IVCi","n no change","5","n no change:  5"
"IVCi","pre-venesection mean","0.9369","pre-venesection mean:  0.9369"
"IVCi","post-venesection mean","0.6879","post-venesection mean:  0.6879"
"IVCi","bias (absolute)","-2.490e-01 (-3.686e-01, -1.459e-01)","bias (absolute):  -2.490e-01 (-3.686e-01, -1.459e-01)"
"IVCi","bias (relative)","-37.3 (-60.4, -18.3)","bias (relative):  -37.3 (-60.4, -18.3)"
"IVCi","Correlation","0.777 ( 0.560, 0.929)","Correlation:  0.777 ( 0.560, 0.929)"
"IVCi","Coefficient of variation (CV)","-1.25 ( -1.72, -0.85)","Coefficient of variation (CV):  -1.25 ( -1.72, -0.85)"
"IVCi","inverse CV","-0.797 (-1.173, -0.583)","inverse CV:  -0.797 (-1.173, -0.583)"
"IVCi","log-odds","-1.695 (-2.909, -0.965)","log-odds:  -1.695 (-2.909, -0.965)"
"IVCi","limits of agreement (absolute)","(-0.8933,  0.3063)","limits of agreement (absolute):  (-0.8933,  0.3063)"
"IVCi","limits of agreement % (relative)","(-161.7,  65.1)","limits of agreement % (relative):  (-161.7,  65.1)"
"LIDCO CI","N (excl. missing)","37","N (excl. missing):  37"
"LIDCO CI","n increased","16","n increased:  16"
"LIDCO CI","n decreased","21","n decreased:  21"
"LIDCO CI","n no change","0","n no change:  0"
"LIDCO CI","pre-venesection mean","3.638","pre-venesection mean:  3.638"
"LIDCO CI","post-venesection mean","3.242","post-venesection mean:  3.242"
"LIDCO CI","bias (absolute)","-3.960e-01 (-7.350e-01, -9.100e-02)","bias (absolute):  -3.960e-01 (-7.350e-01, -9.100e-02)"
"LIDCO CI","bias (relative)","-11.9 (-20.6,  -3.4)","bias (relative):  -11.9 (-20.6,  -3.4)"
"LIDCO CI","Correlation","0.540 ( 0.400, 0.712)","Correlation:  0.540 ( 0.400, 0.712)"
"LIDCO CI","Coefficient of variation (CV)","-2.58 ( -8.53, -1.42)","Coefficient of variation (CV):  -2.58 ( -8.53, -1.42)"
"LIDCO CI","inverse CV","-0.388 (-0.683, -0.105)","inverse CV:  -0.388 (-0.683, -0.105)"
"LIDCO CI","log-odds","-0.272 (-0.993,  0.383)","log-odds:  -0.272 (-0.993,  0.383)"
"LIDCO CI","limits of agreement (absolute)","(-2.462,  1.456)","limits of agreement (absolute):  (-2.462,  1.456)"
"LIDCO CI","limits of agreement % (relative)","(-64.8,  40.0)","limits of agreement % (relative):  (-64.8,  40.0)"
"LIDCO CO","N (excl. missing)","37","N (excl. missing):  37"
"LIDCO CO","n increased","16","n increased:  16"
"LIDCO CO","n decreased","21","n decreased:  21"
"LIDCO CO","n no change","0","n no change:  0"
"LIDCO CO","pre-venesection mean","7.286","pre-venesection mean:  7.286"
"LIDCO CO","post-venesection mean","6.486","post-venesection mean:  6.486"
"LIDCO CO","bias (absolute)","-8.000e-01 (-1.435e+00, -1.970e-01)","bias (absolute):  -8.000e-01 (-1.435e+00, -1.970e-01)"
"LIDCO CO","bias (relative)","-11.9 (-20.8,  -3.2)","bias (relative):  -11.9 (-20.8,  -3.2)"
"LIDCO CO","Correlation","0.589 ( 0.431, 0.757)","Correlation:  0.589 ( 0.431, 0.757)"
"LIDCO CO","Coefficient of variation (CV)","-2.41 ( -7.60, -1.35)","Coefficient of variation (CV):  -2.41 ( -7.60, -1.35)"
"LIDCO CO","inverse CV","-0.415 (-0.725, -0.120)","inverse CV:  -0.415 (-0.725, -0.120)"
"LIDCO CO","log-odds","-0.272 (-0.993,  0.383)","log-odds:  -0.272 (-0.993,  0.383)"
"LIDCO CO","limits of agreement (absolute)","(-4.663,  2.867)","limits of agreement (absolute):  (-4.663,  2.867)"
"LIDCO CO","limits of agreement % (relative)","(-65.7,  41.0)","limits of agreement % (relative):  (-65.7,  41.0)"
"LIDCO PPV","N (excl. missing)","36","N (excl. missing):  36"
"LIDCO PPV","n increased","22","n increased:  22"
"LIDCO PPV","n decreased","12","n decreased:  12"
"LIDCO PPV","n no change","2","n no change:  2"
"LIDCO PPV","pre-venesection mean","13.7","pre-venesection mean:  13.7"
"LIDCO PPV","post-venesection mean","16.47","post-venesection mean:  16.47"
"LIDCO PPV","bias (absolute)"," 3.000e+00 ( 8.300e-01,  5.330e+00)","bias (absolute):   3.000e+00 ( 8.300e-01,  5.330e+00)"
"LIDCO PPV","bias (relative)"," 16.9 (  4.6,  29.6)","bias (relative):   16.9 (  4.6,  29.6)"
"LIDCO PPV","Correlation","0.500 (-0.079, 0.799)","Correlation:  0.500 (-0.079, 0.799)"
"LIDCO PPV","Coefficient of variation (CV)"," 2.31 (  1.33,  6.82)","Coefficient of variation (CV):   2.31 (  1.33,  6.82)"
"LIDCO PPV","inverse CV"," 0.434 ( 0.139,  0.747)","inverse CV:   0.434 ( 0.139,  0.747)"
"LIDCO PPV","log-odds"," 0.571 (-0.056,  1.335)","log-odds:   0.571 (-0.056,  1.335)"
"LIDCO PPV","limits of agreement (absolute)","(-10.00,  17.00)","limits of agreement (absolute):  (-10.00,  17.00)"
"LIDCO PPV","limits of agreement % (relative)","(-56.6,  93.5)","limits of agreement % (relative):  (-56.6,  93.5)"
"LIDCO SV","N (excl. missing)","37","N (excl. missing):  37"
"LIDCO SV","n increased","14","n increased:  14"
"LIDCO SV","n decreased","21","n decreased:  21"
"LIDCO SV","n no change","2","n no change:  2"
"LIDCO SV","pre-venesection mean","101.22","pre-venesection mean:  101.22"
"LIDCO SV","post-venesection mean","90.62","post-venesection mean:  90.62"
"LIDCO SV","bias (absolute)","-1.059e+01 (-1.946e+01, -2.320e+00)","bias (absolute):  -1.059e+01 (-1.946e+01, -2.320e+00)"
"LIDCO SV","bias (relative)","-10.6 (-19.9,  -1.8)","bias (relative):  -10.6 (-19.9,  -1.8)"
"LIDCO SV","Correlation","0.393 ( 0.116, 0.644)","Correlation:  0.393 ( 0.116, 0.644)"
"LIDCO SV","Coefficient of variation (CV)","-2.57 ( -8.99, -1.41)","Coefficient of variation (CV):  -2.57 ( -8.99, -1.41)"
"LIDCO SV","inverse CV","-0.390 (-0.693, -0.098)","inverse CV:  -0.390 (-0.693, -0.098)"
"LIDCO SV","log-odds","-0.383 (-1.063,  0.217)","log-odds:  -0.383 (-1.063,  0.217)"
"LIDCO SV","limits of agreement (absolute)","(-64.52,  39.71)","limits of agreement (absolute):  (-64.52,  39.71)"
"LIDCO SV","limits of agreement % (relative)","(-67.3,  43.1)","limits of agreement % (relative):  (-67.3,  43.1)"
"LIDCO SVI","N (excl. missing)","37","N (excl. missing):  37"
"LIDCO SVI","n increased","14","n increased:  14"
"LIDCO SVI","n decreased","21","n decreased:  21"
"LIDCO SVI","n no change","2","n no change:  2"
"LIDCO SVI","pre-venesection mean","50.33","pre-venesection mean:  50.33"
"LIDCO SVI","post-venesection mean","45.19","post-venesection mean:  45.19"
"LIDCO SVI","bias (absolute)","-5.140e+00 (-9.800e+00, -7.600e-01)","bias (absolute):  -5.140e+00 (-9.800e+00, -7.600e-01)"
"LIDCO SVI","bias (relative)","-10.6 (-19.9,  -1.8)","bias (relative):  -10.6 (-19.9,  -1.8)"
"LIDCO SVI","Correlation","0.229 (-0.057, 0.505)","Correlation:  0.229 (-0.057, 0.505)"
"LIDCO SVI","Coefficient of variation (CV)","-2.75 (-11.76, -1.44)","Coefficient of variation (CV):  -2.75 (-11.76, -1.44)"
"LIDCO SVI","inverse CV","-0.364 (-0.665, -0.062)","inverse CV:  -0.364 (-0.665, -0.062)"
"LIDCO SVI","log-odds","-0.383 (-1.063,  0.217)","log-odds:  -0.383 (-1.063,  0.217)"
"LIDCO SVI","limits of agreement (absolute)","(-33.48,  21.50)","limits of agreement (absolute):  (-33.48,  21.50)"
"LIDCO SVI","limits of agreement % (relative)","(-67.4,  43.3)","limits of agreement % (relative):  (-67.4,  43.3)"
"LIDCO SVV","N (excl. missing)","36","N (excl. missing):  36"
"LIDCO SVV","n increased","18","n increased:  18"
"LIDCO SVV","n decreased","13","n decreased:  13"
"LIDCO SVV","n no change","5","n no change:  5"
"LIDCO SVV","pre-venesection mean","15.95","pre-venesection mean:  15.95"
"LIDCO SVV","post-venesection mean","17.89","post-venesection mean:  17.89"
"LIDCO SVV","bias (absolute)"," 2.080e+00 (-1.700e-01,  4.560e+00)","bias (absolute):   2.080e+00 (-1.700e-01,  4.560e+00)"
"LIDCO SVV","bias (relative)"," 10.9 (  0.0,  22.2)","bias (relative):   10.9 (  0.0,  22.2)"
"LIDCO SVV","Correlation","0.304 (-0.041, 0.629)","Correlation:  0.304 (-0.041, 0.629)"
